equipment_id;serial_number;name;station_code;category;manufacture;type;sampling_rate;input;installation_date;calibration_date;firmware_version;description;technician;status;supplier
CIM-AAFM-2020;223092;Modem Transceiver;AAFM;Sistem Komunikasi;IDirect;Evolution-X1;;;2020-11-01;;;;;active;
COF-AAFM-2023;;Feed;AAFM;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-AAFM-2020;86SN3639002620;LNB;AAFM;Sistem Komunikasi;Norsat;Norsat C-band 3525F;;;2020-11-01;;;;;active;
COT-AAFM-2020;A00971A07;SSPB;AAFM;Sistem Komunikasi;Norsat;NJT8102F;;;2020-11-01;;;;;active;
COV-AAFM-2023;;VSAT Antenna;AAFM;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
GPR-AAFM-2020;;GPS Receiver;AAFM;GPS;Trimble;Miniature-66800-XX;;;2020-11-01;;;;;active;
PB-AAFM-2023;;Baterai;AAFM;Sistem Power;EverExceed;ES200;;;;;;;;active;
PC-AAFM-2020;;Charger;AAFM;Sistem Power;LEN;LEN-Solar-Regulator;;;2020-11-01;;;;;active;
PSP-AAFM-2023;;Tipe 1 Panel;AAFM;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-AAFM-2023-2;;Tipe 2 Panel;AAFM;Sistem Power;;;;;;;;;;active;
SS-AAFM-2020;194035;Seismometer;AAFM;Sensor;Metrozet;MBB-2;40 Hz;40 Vpp;2020-11-01;;;;;active;
CIM-AAI-2021;77013;Modem Transceiver;AAI;Sistem Komunikasi;Guralp;IQ desktop +;;;2021-11-15;;;;;active;
COF-AAI-2023;;Feed;AAI;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-AAI-2019;1805-N22618-00123;LNB;AAI;Sistem Komunikasi;Norsat;3525-PLL-LNB;;;2019-09-02;;;;;active;
COT-AAI-2021;A09093A15;SSPB;AAI;Sistem Komunikasi;New Japan Radio;NJT8102WF;;;2021-11-15;;;;;active;
COV-AAI-2023;;VSAT Antenna;AAI;Sistem Komunikasi;Prodelin;1251-2.4m-C-Band;;;;;;;;active;
D-AAI-2021;8F60;Digitizer;AAI;Data Logger;Guralp;Minimus +;50 Hz;40 Vpp;2021-11-15;;;;;active;
D-AAI-2021-2;8F60;Digitizer;AAI;Data Logger;Guralp;Minimus +;100 Hz;40 Vpp;2021-11-15;;;;;active;
GPB-AAI-2023;;GPS Board;AAI;GPS;;;;;;;;;;active;
GPR-AAI-2021;;GPS Receiver;AAI;GPS;Guralp;Guralp GNSS;;;2021-11-15;;;;;active;
M-AAI-2023;;Storage Media;AAI;Storage Media;;;;;;;;;;active;
PB-AAI-2021;;Baterai;AAI;Sistem Power;Everexceed;VRLA 200 AH;;;2021-11-15;;;;;active;
PC-AAI-2021;1651;Charger;AAI;Sistem Power;Epever;MPPT Tracer 3210 AN;;;2021-11-15;;;;;active;
PSP-AAI-2023;;Tipe 1 Panel;AAI;Sistem Power;Solar Werk;SWM-260;;;;;;;;active;
PSP-AAI-2023-2;;Tipe 2 Panel;AAI;Sistem Power;;;;;;;;;;active;
SA-AAI-2021;8F60;Accelerometer;AAI;Sensor;Guralp;Minimus + MEMS;;;2021-11-15;;;;;active;
SS-AAI-2021;T310727;Seismometer;AAI;Sensor;Guralp;3T 120;;;2021-11-15;;;;;active;
CIM-AAII-2013;32643;Modem Transceiver;AAII;Sistem Komunikasi;Hughes;DirectWay;;;2013-10-25;;;;;active;
CIS-AAII-2023;SO20190200038400015;Switch;AAII;Sistem Komunikasi;Wintop;WT-RS2020;;;2019-09-02;;;;;active;
COF-AAII-2023;;Feed;AAII;Sistem Komunikasi;Prodelin;;;;;;;;;active;
COR-AAII-2006;29N080001393;LNB;AAII;Sistem Komunikasi;;;;;2006-12-01;;;;;active;
COT-AAII-2006;12806;SSPB;AAII;Sistem Komunikasi;;;;;2006-12-01;;;;;active;
COV-AAII-2023;;VSAT Antenna;AAII;Sistem Komunikasi;Prodelin;1183-1.8m-C-Band;;;;;;;;active;
D-AAII-2019;G17665DR6;Digitizer;AAII;Data Logger;Geodevice;EDAS-24GN6;100 Hz;20 Vpp;2019-09-02;;;;;active;
GNA-AAII-2019;17441;GNSS Antenna;AAII;GPS;Trimble;GNSS-TiChoke-Ring;;;2019-09-02;;;;;active;
GN-AAII-2019;5842R50583;GNSS;AAII;GPS;Trimble;Net-R9;30 Hz;;2019-09-02;;;;;active;
GPR-AAII-2019;;GPS Receiver;AAII;GPS;Geodevice;IRIG-gps;;;2019-09-02;;;;;active;
M-AAII-2023;;Storage Media;AAII;Storage Media;;;;;;;;;;active;
PA-AAII-2023;E633;DC Power;AAII;Sistem Power;Tianyuan Shidai;IDP-E;;;;;;;;active;
PB-AAII-2019;;Baterai;AAII;Sistem Power;Panasonic;LC-Y12100S;;;2019-09-02;;;;;active;
SA-AAII-2019;17441;Accelerometer;AAII;Sensor;Geodevice;GL-A4;;;2019-09-02;;;;;active;
SS-AAII-2019;G17479VS;Seismometer;AAII;Sensor;Geodevice;GL-S120;;;2019-09-02;;;;;active;
SW-AAII-2023;181220JLY2801030;Weather Sensor;AAII;Sensor;Zhongke Nenghui;NHJLY2801;;;;;;;;active;
CIM-ABJI-2019;1100;Modem Transceiver;ABJI;Sistem Komunikasi;Nanometrics;CYGNUS 205;;;2019-08-27;;;;;active;
COF-ABJI-2023;;Feed;ABJI;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-ABJI-2007;76N11380087;LNB;ABJI;Sistem Komunikasi;Norsat;3525-PLL-LNB;;;2007-01-01;;;;;active;
COT-ABJI-2014;A03316E41;SSPB;ABJI;Sistem Komunikasi;New Japan Radio;NJT-5667-2W;;;2014-07-18;;;;;active;
COV-ABJI-2023;;VSAT Antenna;ABJI;Sistem Komunikasi;Prodelin;1251-2.4m-C-Band;;;;;;;;active;
D-ABJI-2023;10362;Digitizer;ABJI;Data Logger;Nanometrics;Centaur;40 Hz;40 Vpp;2023-10-19;;;;;active;
D-ABJI-2023-2;10362;Digitizer;ABJI;Data Logger;Nanometrics;Centaur;100 Hz;40 Vpp;2023-10-19;;;;;active;
GPB-ABJI-2023;;GPS Board;ABJI;GPS;;;;;;;;;;active;
GPR-ABJI-2007;08N100080;GPS Receiver;ABJI;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2007-01-01;;;;;active;
M-ABJI-2019;;Storage Media;ABJI;Storage Media;Transcend;133x;;;2019-08-27;;;;;active;
M-ABJI-2023;;Storage Media;ABJI;Storage Media;;;;;;;;;;active;
PB-ABJI-2021;;Baterai;ABJI;Sistem Power;Haze;HZY-SL12-70J;;;2021-10-16;;;;;active;
PC-ABJI-2014;582;Charger;ABJI;Sistem Power;Nanometrics;SolarRegulator;;;2014-07-18;;;;;active;
PSP-ABJI-2023;;Tipe 1 Panel;ABJI;Sistem Power;BP Solar;BP-350J;;;;;;;;active;
PSP-ABJI-2023-2;;Tipe 2 Panel;ABJI;Sistem Power;;;;;;;;;;active;
SA-ABJI-2007;278;Accelerometer;ABJI;Sensor;Metrozet;TSA-100S;;;2007-01-01;;;;;active;
SS-ABJI-2014;2050;Seismometer;ABJI;Sensor;Nanometrics;Trillium-120P;;;2014-12-01;;;;;active;
CBM-ABSM-2022;1126843034;Modem;ABSM;Sistem Komunikasi;Teltonika;;;;2022-12-20;;;;;active;
CIM-ABSM-2019;2237;Modem Transceiver;ABSM;Sistem Komunikasi;Nanometrics;CYGNUS 205;;;2019-10-01;;;;;active;
COF-ABSM-2023;;Feed;ABSM;Sistem Komunikasi;;;;;;;;;;active;
COR-ABSM-2019;1901-N22618-00165;LNB;ABSM;Sistem Komunikasi;Norsat;Norsat-3520;;;2019-10-01;;;;;active;
COT-ABSM-2019;A00811A85;SSPB;ABSM;Sistem Komunikasi;Norsat;NJT8102;;;2019-10-01;;;;;active;
COV-ABSM-2023;;VSAT Antenna;ABSM;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
GPR-ABSM-2019;;GPS Receiver;ABSM;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2019-10-01;;;;;active;
PB-ABSM-2023;;Baterai;ABSM;Sistem Power;EverExceed;ES200;;;;;;;;active;
PC-ABSM-2019;;Charger;ABSM;Sistem Power;Nanometrics;SolarRegulator;;;2019-10-01;;;;;active;
PSP-ABSM-2023;;Tipe 1 Panel;ABSM;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-ABSM-2023-2;;Tipe 2 Panel;ABSM;Sistem Power;;;;;;;;;;active;
SS-ABSM-2022;2214;Seismometer;ABSM;Sensor;Nanometrics;Trillium-120P;40 Hz;40 Vpp;2022-10-18;;;;;active;
CIM-ACBM-2022;;Modem Transceiver;ACBM;Sistem Komunikasi;IDirect;Evolution-X1;;;2022-08-06;;;;;active;
