id;station_code;maintenance_id;equipment_id;work_type;usage;description;maintenance_date
1;AAII;AAII-1;SS-AAII-2019;Penggantian;;All equipment was exchange with new equipment.;2019-09-02
2;AAII;AAII-1;SA-AAII-2019;Penggantian;;All equipment was exchange with new equipment.;2019-09-02
3;AAII;AAII-1;D-AAII-2019;Penggantian;;All equipment was exchange with new equipment.;2019-09-02
4;AAII;AAII-1;ZZ-AAII-2019;Penggantian;;All equipment was exchange with new equipment.;2019-09-02
5;AAII;AAII-1;PB-AAII-2019;Penggantian;;All equipment was exchange with new equipment.;2019-09-02
6;AAII;AAII-1;CIS-AAII-2019;Penggantian;;All equipment was exchange with new equipment.;2019-09-02
7;AAII;AAII-1;ZZ-AAII-2019-2;Penggantian;;All equipment was exchange with new equipment.;2019-09-02
8;AAII;AAII-3;;Lain-lain;;Pengecekkan Perangkat Site AAII;2021-06-27
9;AAII;AAII-4;;Lain-lain;;Diketahui site AAII tidak mengirimkan data dikarenakan jaringan vsat di rubah ke jaringan VPN (astinet);2021-09-13
10;GTOI;GTOI-1;D-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
11;GTOI;GTOI-1;SA-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
12;GTOI;GTOI-1;SS-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
13;GTOI;GTOI-1;ZZ-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
14;GTOI;GTOI-1;PB-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
15;GTOI;GTOI-1;ZZ-GTOI-2019-2;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
16;GTOI;GTOI-1;ZZ-GTOI-2019-3;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
17;GTOI;GTOI-1;CIS-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
18;GTOI;GTOI-1;COT-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
19;GTOI;GTOI-1;COR-GTOI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-11-12
20;IGBI;IGBI-4;ZZ-IGBI-2013;Penggantian;;solar controller bermasalah;2013-08-27
21;IGBI;IGBI-5;PB-IGBI-2014;Penggantian;;baterai dalam kondisi drop;2014-09-06
22;IGBI;IGBI-7;SS-IGBI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
23;IGBI;IGBI-7;SA-IGBI-2019;Penggantian;;jelaskan sejarah All equipment was exchange with new equipment.;2019-06-23
24;IGBI;IGBI-7;D-IGBI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
25;IGBI;IGBI-7;ZZ-IGBI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
26;IGBI;IGBI-7;PB-IGBI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
27;IGBI;IGBI-7;CIS-IGBI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
28;IGBI;IGBI-7;ZZ-IGBI-2019-2;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
29;IGBI;IGBI-7;COT-IGBI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
30;IGBI;IGBI-7;COR-IGBI-2019;Penggantian;;All equipment was exchange with new equipment.;2019-06-23
31;IGBI;IGBI-8;;Perbaikan;;Antena vsat tidak level dan carier cacat;2021-08-05
32;IGBI;IGBI-8;;Perbaikan;;sinar matahari untuk Solar panel Tertutup pohon pada sore hari;2021-08-05
33;JMBI;JMBI-3;SS-JMBI-2019;Penggantian;;All equipment was exchange with new equipment;2019-07-06
