station_code;category;unit;description;status;maps;latitude;longitude;altitude;province;city;district;subdistrict;network;start_date;address
AAFM;Stasiun Gempa Bumi;Stageof Alor;;;https://www.google.com/maps?q=-8.2734,124.7237;-8.2734;124.7237;830;Nusa Tenggara Timur;Alor;Alor Selatan;;;2020-11-01;Alor, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
AAI;Stasiun Gempa Bumi;Stageof Ambon;;;https://www.google.com/maps?q=-3.6871,128.1943;-3.6871;128.1943;158;Maluku;Ambon;Sirimau;Amantelu;;2005-01-01;StasiunGeofisika Klas I Karang Panjang - Ambon
AAII;Stasiun Gempa Bumi;Stageof Ambon;;;https://www.google.com/maps?q=-3.6871,128.194;-3.6871;128.194;160;Maluku;Ambon;Sirimau;Karang Panjang;;2006-12-01;Jalan Ais Nasution No. 8 Ambon, Maluku
ABJI;Stasiun Gempa Bumi;Stageof Pasuruan;;;https://www.google.com/maps?q=-7.7956,114.234;-7.7956;114.234;144.7;Jawa Timur;Situbondo;Asembagus;Asembagus;;2007-01-01;Desa Bantal
ABSM;Stasiun Gempa Bumi;Stageof Kepahiang;;;https://www.google.com/maps?q=-3.425377,102.262919;-3.425377;102.262919;380;Bengkulu;Bengkulu Utara;Argamakmur;;;2019-10-01;Tebing Kaning, Bengkulu Utara, Bengkulu, Sumatera, Indonesia
ACBM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.029754,107.682833;-7.029754;107.682833;706;Jawa Barat;Kabupaten Bandung;Ciparay;Ciheulang;;2022-08-06;Desa Ciheulang, Ciparay, Kabupaten Bandung
ACJM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.803194,108.615126;-6.803194;108.615126;646;Jawa Barat;Cirebon;Astanajapura;Mertapada Wetan;;2019-10-01;Jalan Tol Kanci-Palimanan
ALKI;Stasiun Gempa Bumi;Stageof Alor;;;https://www.google.com/maps?q=-8.1445,124.5903;-8.1445;124.5903;74;Nusa Tenggara Timur;Alor;Kabola;Kabola;;2010-10-01;Jln. Soekarno Hatta Kampung Mali
ALTI;Stasiun Gempa Bumi;Stageof Alor;;;https://www.google.com/maps?q=-8.2904,125.1262;-8.2904;125.1262;13;Nusa Tenggara Timur;Alor;Alor Timur;Kolana Utara;;2019-10-01;Kantor Kecamatan Alor Timur
AMPM;Stasiun Gempa Bumi;Stageof Sorong;;;https://www.google.com/maps?q=-1.2675,132.4918;-1.2675;132.4918;517;Papua Barat;Maybrat;Aifat;;;2020-11-01;Bori, Maybrat, Papua Barat Daya, Western New Guinea, Indonesia
ANAPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-1.323,133.912;-1.323;133.912;;Papua Barat;;;;;2023-01-01;Jalan Anggi Gida - Menyambouw, Susi, Pegunungan Arfak, Papua Barat, Western New Guinea, Indonesia
APSI;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-0.9108,121.6487;-0.9108;121.6487;143.5;Sulawesi Tengah;Tojo Una - Una;Ampana Tete;Uebone;;2007-01-01;Jl. Desa Uebone
APSSI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-3.932,102.465;-3.932;102.465;;Bengkulu;;;;;2023-01-01;Loeboek Kajoe Aro, Padang Pelawi, Seluma, Bengkulu, Sumatera, 38881, Indonesia
ARKPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-2.783,140.592;-2.783;140.592;;Papua;;;;;2023-01-01;Keerom, Papua, Western New Guinea, Indonesia
ARMI;Stasiun Gempa Bumi;Stageof Maluku Tenggara Barat;;;https://www.google.com/maps?q=-5.7749,134.219;-5.7749;134.219;73;Maluku;Kepulauan Aru;Pulau-Pulau Aru;Siwalima;;2019-10-01;Kantor BPBD Aru, Siwalima, Pulau-Pulau Aru, Kepulauan Aru Regency, Maluku
ARPI;Stasiun Gempa Bumi;Stageof Jayapura;;;https://www.google.com/maps?q=-2.9014,140.7561;-2.9014;140.7561;134;Papua;Keerom;Arso;Arso;;2019-10-01;BPBD Keerom. Jl. Poros Arso II
ARSKI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-6.85843,115.286;-6.85843;115.286;;Jawa Timur;;;;;2023-01-01;Arjasa, Sumenep, Jawa Timur, Jawa, Indonesia
ASTTI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-10.068,124.299;-10.068;124.299;;Nusa Tenggara Timur;;;;;2023-01-01;Jalan Batnun, Oekiu, Timor Tengah Selatan, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
ATKTI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-9.425,124.09;-9.425;124.09;;Nusa Tenggara Timur;;;;;2023-01-01;Kupang, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
ATNI;Stasiun Gempa Bumi;Stageof Kupang;;;https://www.google.com/maps?q=-9.0835,124.8644;-9.0835;124.8644;404;Nusa Tenggara Timur;Atambua;Atambua Barat;Atambua Barat;;2012-01-01;Jl. Lintas Atambua Barat
BAJI;Stasiun Gempa Bumi;Stageof Pasuruan;;;https://www.google.com/maps?q=-7.09057,112.70853;-7.09057;112.70853;76;Jawa Timur;Bangkalan;Socah;;;2019-10-01;Socah, Bangkalan, Jawa Timur, Jawa, Indonesia
BAKI;Stasiun Gempa Bumi;Stageof Nabire;;;https://www.google.com/maps?q=-1.1915,136.107;-1.1915;136.107;;Papua;;;;;2006-01-01;Jalan Yenusi - Mokmer, Ambroben, Biak Numfor, Papua, Western New Guinea, 98111, Indonesia
BAPJI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-7.912,111.305;-7.912;111.305;;Jawa Timur;;;;;2023-01-01;Dayakan, Ponorogo, Jawa Timur, Jawa, Indonesia
BASAI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=2.307,97.407;2.307;97.407;;Aceh;;;;;2023-01-01;Pulau Balai, Pulau Banyak, Aceh Singkil, Aceh, Sumatera, Indonesia
BASI;Stasiun Gempa Bumi;Stageof Sumba Timur;;;https://www.google.com/maps?q=-10.2189,120.5777;-10.2189;120.5777;72;Nusa Tenggara Timur;Sumba Timur;Wula Waijelu;Paranda;;2008-10-01;Hadakamali
BATI;Stasiun Gempa Bumi;Stageof Kupang;;;https://www.google.com/maps?q=-10.2065,123.6633;-10.2065;123.6633;362;Nusa Tenggara Timur;Kupang;Taebenu;Baumata;;1900-01-01;Jalan Sonbai RT.11 RW.06 Bonen
BATPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-2.5427,133.4455;-2.5427;133.4455;;Papua Barat;;;;;2023-01-01;Babo, Papua Barat, Western New Guinea, Indonesia
BBBCM;Stasiun Gempa Bumi;Stageof Gowa;;;https://www.google.com/maps?q=-5.5772,120.4481;-5.5772;120.4481;87;Sulawesi Selatan;Bulukumba;Bonto Bahari;Darubia;;2020-11-01;Kantor Desa Darubia, Bulukumba (Darubiah, Bonto Bahari, Kabupaten Bulukumba, Sulawesi Selatan 92571)
BBCI;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=1.15803,121.436;1.15803;121.436;76;Sulawesi Tengah;Buol;Biau;Biau;;2019-10-01;Kantor PU Buol, Sulawesi Tengah
BBCM;Stasiun Gempa Bumi;Stageof Gowa;;;https://www.google.com/maps?q=-5.0392,120.058;-5.0392;120.058;546;Sulawesi Selatan;Bone;Bontocani;;;2019-10-01;Bone, Kahu, Sulawesi Selatan, Sulawesi, Indonesia
BBJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.462471,107.649846;-7.462471;107.649846;615;Jawa Barat;Garut;Pakenjeng;Pasirlangu;;2016-09-05;Kp. Depok Lama
BBJM;Stasiun Gempa Bumi;Stageof Nganjuk;;;https://www.google.com/maps?q=-7.326,111.8099;-7.326;111.8099;211;Jawa Timur;Bojonegoro;Bubulan;Cancung;;2019-10-01;Kantor Camat Bubulan, Jl. Raya Bubulan
BBLSI;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-1.637539,123.52168;-1.637539;123.52168;;Sulawesi Tengah;;;;;2022-01-01;Adean, Banggai Laut, Sulawesi Tengah, Sulawesi, Indonesia
BBSI;Stasiun Gempa Bumi;Stageof Kendari;;;https://www.google.com/maps?q=-5.4885,122.5695;-5.4885;122.5695;95;Sulawesi Tenggara;Bau Bau;Betuambari;Katobengke;;2006-01-01;Komplek Bandara Beto Ambari, Jalan dayanu ikhsanuddin
BDBI;Stasiun Gempa Bumi;Stageof Denpasar;;;https://www.google.com/maps?q=-8.520029,115.208717;-8.520029;115.208717;186;Bali;Denpasar;Badung;;;2021-12-07;Abiansemal, Badung, Bali, Nusa Tenggara, 80352, Indonesia
BDCM;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-0.873,119.5867;-0.873;119.5867;18;Sulawesi Tengah;Donggala;Banawa Selatan;;;2019-10-01;Watatu, Donggala, Sulawesi Tengah, Sulawesi, Indonesia
